2018-12-23 08:05:38 INFO  ExtentReporttListener:76 - testValidLogin3 Test Started...
2018-12-23 08:05:49 INFO  ExtentReporttListener:76 - testValidLogin1 Test Started...
2018-12-23 08:05:53 INFO  ExtentReporttListener:76 - testValidLogin5 Test Started...
2018-12-23 08:06:59 INFO  ExtentReporttListener:94 - testValidLogin3Test Passed...
2018-12-23 08:06:59 INFO  ExtentReporttListener:76 - testValidLogin4 Test Started...
2018-12-23 08:06:59 WARN  ExtentReporttListener:124 - testValidLogin4Test Skipped...null
2018-12-23 08:06:59 INFO  ExtentReporttListener:55 - Regression 2 Test Finished...
2018-12-23 08:06:59 INFO  ExtentReporttListener:94 - testValidLogin1Test Passed...
2018-12-23 08:06:59 INFO  ExtentReporttListener:76 - testValidLogin2 Test Started...
2018-12-23 08:06:59 WARN  ExtentReporttListener:124 - testValidLogin2Test Skipped...null
2018-12-23 08:06:59 INFO  ExtentReporttListener:55 - Regression 1 Test Finished...
2018-12-23 08:07:00 INFO  ExtentReporttListener:94 - testValidLogin5Test Passed...
2018-12-23 08:07:01 INFO  ExtentReporttListener:76 - testValidLogin6 Test Started...
2018-12-23 08:07:01 WARN  ExtentReporttListener:124 - testValidLogin6Test Skipped...null
2018-12-23 08:07:01 INFO  ExtentReporttListener:55 - Regression 3 Test Finished...
